ev_time_on_ice,ev_time_on_ice_per_game,games_played,last_name,ot_time_on_ice,ot_time_on_ice_per_ot_game,player_id,position_code,pp_time_on_ice,pp_time_on_ice_per_game,season_id,sh_time_on_ice,sh_time_on_ice_per_game,shifts,shifts_per_game,shoots_catches,skater_full_name,team_abbrevs,time_on_ice,time_on_ice_per_game,time_on_ice_per_shift
87067,1049,83,Kulak,357,15.52173,8476967,D,643,7.74698,20252026,6715,80.90361,1819,21.91566,L,Brett Kulak,"EDM,PIT,COL",94425,1137.6506,51.91039
71872,876.4878,82,Stamkos,1470,73.5,8474564,C,15712,191.60975,20252026,127,1.54878,1706,20.80487,R,Steven Stamkos,NSH,87711,1069.64634,51.41324
73659,898.28048,82,Mercer,808,50.5,8482110,C,7898,96.31707,20252026,8120,99.02439,1795,21.89024,R,Dawson Mercer,NJD,89677,1093.62195,49.95933
53560,653.17073,82,Kolesar,0,0,8478434,R,360,4.39024,20252026,2843,34.67073,1373,16.7439,R,Keegan Kolesar,VGK,56763,692.2317,41.34231
75683,922.96341,82,Barbashev,831,31.96153,8477964,L,4208,51.31707,20252026,19,0.2317,1614,19.68292,L,Ivan Barbashev,VGK,79910,974.51219,49.51053
68880,840,82,Coyle,1260,52.5,8475745,C,9939,121.20731,20252026,10230,124.75609,1843,22.4756,R,Charlie Coyle,CBJ,89049,1085.96341,48.31741
81804,997.60975,82,Malinski,608,33.77777,8484258,D,1184,14.43902,20252026,3684,44.92682,1789,21.81707,R,Sam Malinski,COL,86672,1056.9756,48.44717
65346,796.90243,82,Quinn,556,32.70588,8482097,R,11028,134.4878,20252026,656,8,1651,20.13414,R,Jack Quinn,BUF,77030,939.39024,46.65657
94070,1147.19512,82,Byram,925,54.41176,8481524,D,7862,95.87804,20252026,7986,97.39024,2174,26.51219,L,Bowen Byram,BUF,109918,1340.46341,50.56025
69544,848.09756,82,Gourde,273,17.0625,8476826,C,904,11.02439,20252026,10072,122.82926,1725,21.03658,L,Yanni Gourde,TBL,80520,981.95121,46.67826
90138,1099.2439,82,McDavid,1934,96.7,8478402,C,17751,216.4756,20252026,5199,63.40243,1841,22.45121,L,Connor McDavid,EDM,113088,1379.12195,61.42748
89864,1095.90243,82,Pelech,845,44.47368,8476917,D,728,8.87804,20252026,12190,148.65853,2215,27.01219,L,Adam Pelech,NYI,102782,1253.43902,46.4027
101739,1240.71951,82,Provorov,1466,61.08333,8478500,D,5429,66.20731,20252026,14919,181.93902,2124,25.90243,L,Ivan Provorov,CBJ,122087,1488.86585,57.47975
74494,908.46341,82,DeBrincat,1355,64.5238,8479337,R,16362,199.53658,20252026,165,2.01219,1753,21.37804,R,Alex DeBrincat,DET,91021,1110.01219,51.92298
66082,805.87804,82,Hertl,1057,40.65384,8476881,C,17059,208.03658,20252026,666,8.12195,1590,19.39024,L,Tomas Hertl,VGK,83807,1022.03658,52.7088
63652,776.2439,82,Killorn,919,39.95652,8473986,L,7243,88.32926,20252026,11293,137.71951,1802,21.9756,L,Alex Killorn,ANA,82188,1002.29268,45.60932
76924,938.09756,82,Vilardi,369,19.42105,8480014,C,15133,184.54878,20252026,142,1.7317,1645,20.06097,R,Gabriel Vilardi,WPG,92199,1124.37804,56.04802
99770,1216.70731,82,Schaefer,2220,116.8421,8485366,D,16294,198.70731,20252026,5375,65.54878,2204,26.87804,L,Matthew Schaefer,NYI,121439,1480.96341,55.09936
58752,716.4878,82,Kapanen,568,23.66666,8482775,C,4737,57.76829,20252026,7726,94.21951,1517,18.5,R,Oliver Kapanen,MTL,71215,868.4756,46.94462
81542,994.41463,82,Suzuki,2913,121.375,8480018,C,17424,212.4878,20252026,3471,42.32926,1812,22.09756,R,Nick Suzuki,MTL,102437,1249.2317,56.53256
60248,734.7317,82,Drury,216,12,8480835,C,1068,13.02439,20252026,9919,120.96341,1639,19.9878,L,Jack Drury,COL,71235,868.71951,43.46247
76656,934.82926,82,Ceci,82,2.48484,8476879,D,79,0.96341,20252026,9688,118.14634,1753,21.37804,R,Cody Ceci,LAK,86423,1053.93902,49.30005
64415,785.54878,82,Novak,1281,55.69565,8478438,C,5814,70.90243,20252026,35,0.42682,1483,18.08536,L,Thomas Novak,PIT,70264,856.87804,47.37963
86857,1059.2317,82,Schneider,956,53.11111,8482073,D,1810,22.07317,20252026,11909,145.2317,2058,25.09756,R,Braden Schneider,NYR,100576,1226.53658,48.87074
64098,781.68292,82,Minten,1149,52.22727,8483489,C,4765,58.10975,20252026,7648,93.26829,1635,19.93902,L,Fraser Minten,BOS,76511,933.06097,46.79571
70291,857.20731,82,Podkolzin,251,12.55,8481617,R,2282,27.82926,20252026,3083,37.59756,1570,19.14634,L,Vasily Podkolzin,EDM,75656,922.63414,48.18853
91247,1112.76829,82,Lindell,862,35.91666,8476902,D,3720,45.36585,20252026,19348,235.95121,1958,23.87804,L,Esa Lindell,DAL,114315,1394.08536,58.38355
63015,768.4756,82,Frost,824,51.5,8480028,C,13164,160.53658,20252026,91,1.10975,1656,20.19512,L,Morgan Frost,CGY,76270,930.12195,46.05676
64718,789.2439,82,O'Connor,224,12.44444,8482055,L,1947,23.7439,20252026,5113,62.35365,1540,18.78048,L,Drew O'Connor,VAN,71778,875.34146,46.60909
